"Team","W","L","OL","GF","GA","GD","Rating","GP","Pt","UR","offset"
"Bischcakes",6,9,1,27,45,-18,-4.1,15,13,-0.27,-20
"Bones",4,8,1,25,32,-7,-3.65,12,9,-0.3,-20
"JimmBug",9,10,3,35,31,4,0.95,19,21,0.05,20
"Kinny",8,4,2,25,21,4,6.55,12,18,0.55,20
"Kitten",7,7,3,25,22,3,3.3,14,17,0.24,20
"LuMan",4,5,0,23,27,-4,-0.9,9,8,-0.1,-20
"Mr B",13,8,0,58,44,14,1.6,21,26,0.08,20
"MTpocketz",9,7,0,33,32,1,2,16,18,0.12,20
"Sleestax",7,12,3,28,49,-21,-3.4,19,17,-0.18,-20
"SwoleJ",16,7,2,69,42,27,13.9,23,34,0.6,20
"TragedyTrav",13,9,2,57,43,14,9.25,22,28,0.42,20
"Zilla",4,13,2,31,44,-13,-5.45,17,10,-0.32,-20
