"Name","Avg. Rank
Week 4","Wk5","Change
Wk 4-5","Wk6","Change"
"Zilla",1.09,"4.13",-3.04,"2.30",1.83
"Kinny",3.45,"3.75",-0.3,"2.40",1.35
"Kitten",3.18,"2.25",0.93,"2.70",-0.45
"SwoleJ",3.91,"2.00",1.91,"2.90",-0.9
"MT Pocketz",8.27,"7.50",0.77,"5.80",1.7
"Tragedy Trav",6,"4.63",1.37,"7.10",-2.47
"Jizz Maestro",7.82,"6.63",1.19,"7.30",-0.67
"Lu Man",7.64,"7.38",0.26,"9.20",-1.82
"D-Tox",8.73,"9.50",-0.77,"9.40",0.0999999999999996
"Bischcakes",10.45,"9.50",0.949999999999999,"9.70",-0.199999999999999
"Mr. B",7.64,"9.13",-1.49,"10.10",-0.969999999999999
"Jersey Bones",9.82,"11.63",-1.81,"10.10",1.53
"Joe Mac",0,"0.00",0,"12.00",0
