"","Team","W","L","OTL","GF","GA","GD","Pts"
"1","Bischcakes",1,0,0,4,3,1,2
"2","Bischcakes, Mr B",0,1,0,0,2,-2,0
"3","Bischcakes, Mr B, JimmBug",1,0,0,3,2,1,2
"4","J.A. MacMan",0,1,0,3,4,-1,0
"5","Kinny, Bones",0,1,1,2,3,-1,1
"6","Kinny, J.A. MacMan",1,0,0,2,0,2,2
"7","Kinny, MTpocketz",1,0,0,5,1,4,2
"8","Kitten, J.A. MacMan",0,1,1,1,2,-1,1
"9","Mr B",0,2,0,4,6,-2,0
"10","Mr B, Bones",0,1,0,1,5,-4,0
"11","Mr B, JimmBug",1,0,0,3,1,2,2
"12","Mr B, TragedyTrav",2,0,0,7,2,5,4
"13","MTpocketz, J.A. MacMan",1,0,0,3,2,1,2
"14","Sleestax, Kinny",0,1,0,1,3,-2,0
"15","Sleestax, Kinny, TragedyTrav",1,0,0,4,3,1,2
"16","Sleestax, Kinny, TragedyTrav, Kitten, MTpocketz",1,0,0,2,1,1,2
"17","Sleestax, Kinny, TragedyTrav, Kitten, MTpocketz, J.A. MacMan",2,0,0,15,4,11,4
"18","Sleestax, Kitten",0,1,1,2,3,-1,1
"19","Sleestax, TragedyTrav",0,1,0,1,2,-1,0
"20","SwoleJ, Bischcakes",0,1,1,2,3,-1,1
"21","SwoleJ, Bones",1,0,0,3,2,1,2
"22","SwoleJ, JimmBug",1,0,0,2,1,1,2
"23","SwoleJ, Sleestax",1,0,0,2,1,1,2
"24","SwoleJ, Sleestax, Kinny, TragedyTrav",1,0,0,5,0,5,2
"25","TragedyTrav, Kitten",0,1,0,1,3,-2,0
"26","TragedyTrav, MTpocketz",0,1,0,2,3,-1,0
"27","Zilla",2,0,0,6,4,2,4
"28","Zilla, Bischcakes",1,2,0,4,8,-4,2
"29","Zilla, Bischcakes, Mr B",0,1,0,3,4,-1,0
"30","Zilla, Bischcakes, Mr B, JimmBug, Bones",0,1,0,0,5,-5,0
"31","Zilla, Bones",1,0,0,3,1,2,2
"32","Zilla, JimmBug",1,0,0,3,2,1,2
"33","Zilla, SwoleJ, Bischcakes, Mr B, JimmBug, Bones",0,2,0,4,15,-11,0
"34","Zilla, SwoleJ, Mr B, JimmBug, Bones",0,1,0,1,2,-1,0
"35","Zilla, TragedyTrav",0,1,1,1,2,-1,1
